CharacteristicName,ResultValue,ResultSampleFraction
Inorganic carbon,1632,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,6,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,840,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,0.538,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),24,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,395,Dissolved
Total Particulate Carbon,840,Suspended
Total Particulate Nitrogen,109,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,34,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,13,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.37,Total
Chlorophyll a,3.59,
Conductivity,119,Total
Inorganic carbon,1036,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,916,Dissolved
pH,8.01,
Potassium,0,Dissolved
Silica_reactive,0.269,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,440,Dissolved
Total Particulate Carbon,820,Suspended
Total Particulate Nitrogen,124,Non-Filterable (Particle)
Total Particulate Phosphorus,15,Non-Filterable (Particle)
Total Phosphorus_mixed forms,10,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,7.56,Total
Chlorophyll a,4.68,
Conductivity,107,Total
Inorganic carbon,980,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,7,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,989,Dissolved
pH,8.06,
Potassium,0,Dissolved
Silica_reactive,1.01,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),1,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,405,Dissolved
Total Particulate Carbon,940,Suspended
Total Particulate Nitrogen,124,Non-Filterable (Particle)
Total Particulate Phosphorus,17,Non-Filterable (Particle)
Total Phosphorus_mixed forms,10,Dissolved
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,10,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,4.3,Total
Chlorophyll a,3.13,
Conductivity,203,Total
Inorganic carbon,1589,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,845,Dissolved
pH,8.23,
Potassium,0,Dissolved
Silica_reactive,0.9,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),12,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,800,Suspended
Total Particulate Nitrogen,107,Non-Filterable (Particle)
Total Particulate Phosphorus,15,Non-Filterable (Particle)
Total Phosphorus_mixed forms,22,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,20.5,Total
Chlorophyll a,14.88,
Conductivity,254,Total
Inorganic carbon,1958,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,811,Dissolved
pH,8.23,
Potassium,0,Dissolved
Silica_reactive,1.57,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),27,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,1620,Suspended
Total Particulate Nitrogen,276,Non-Filterable (Particle)
Total Particulate Phosphorus,47,Non-Filterable (Particle)
Total Phosphorus_mixed forms,40,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,6.96,Total
Chlorophyll a,4.19,
Conductivity,113,Total
Inorganic carbon,1011,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,974,Dissolved
pH,8.05,
Potassium,0,Dissolved
Silica_reactive,0.358,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,390,Dissolved
Total Particulate Carbon,950,Suspended
Total Particulate Nitrogen,130,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,34,Non-Filterable (Particle)
Total suspended solids,26,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,19.3,Dissolved
Chloride,5.14,"Filtered, field"
Chlorophyll a,4.12,Total
Chlorophyll a,2.98,
Conductivity,191,Total
Inorganic carbon,1496,Dissolved
Iron,0,Dissolved
Magnesium,7.5,Dissolved
Manganese,0,Dissolved
Nitrate,76,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,828,Dissolved
pH,8.27,
Potassium,1.83,Dissolved
Silica_reactive,1.62,Total
Sodium,6.55,"Filtered, field"
Soluble Reactive Phosphorus (SRP),36,"Filtered, field"
Sulfate,15.41,Dissolved
Total Nitrogen_mixed forms,465,Dissolved
Total Particulate Carbon,760,Suspended
Total Particulate Nitrogen,106,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,42,Dissolved
Total suspended solids,17,Non-Filterable (Particle)
Total suspended solids,11,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,29.9,Dissolved
Chloride,9.91,"Filtered, field"
Chlorophyll a,2.46,Total
Chlorophyll a,1.5,
Conductivity,308,Total
Inorganic carbon,2347,Dissolved
Iron,0,Dissolved
Magnesium,12.7,Dissolved
Manganese,0,Dissolved
Nitrate,260,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,850,Dissolved
pH,8.37,
Potassium,3.1,Dissolved
Silica_reactive,3.25,Total
Sodium,10.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),76,"Filtered, field"
Sulfate,32.24,Dissolved
Total Nitrogen_mixed forms,670,Dissolved
Total Particulate Carbon,1070,Suspended
Total Particulate Nitrogen,109,Non-Filterable (Particle)
Total Particulate Phosphorus,35,Non-Filterable (Particle)
Total Phosphorus_mixed forms,73,Dissolved
Total suspended solids,33,Non-Filterable (Particle)
Total suspended solids,33,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,25.7,Dissolved
Chloride,8.08,"Filtered, field"
Chlorophyll a,3.57,Total
Chlorophyll a,2.71,
Conductivity,268,Total
Inorganic carbon,2001,Dissolved
Iron,0,Dissolved
Magnesium,10.9,Dissolved
Manganese,0,Dissolved
Nitrate,149,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,800,Dissolved
pH,8.42,
Potassium,2.68,Dissolved
Silica_reactive,2.23,Total
Sodium,9.85,"Filtered, field"
Soluble Reactive Phosphorus (SRP),49,"Filtered, field"
Sulfate,26.82,Dissolved
Total Nitrogen_mixed forms,530,Dissolved
Total Particulate Carbon,1080,Suspended
Total Particulate Nitrogen,127,Non-Filterable (Particle)
Total Particulate Phosphorus,36,Non-Filterable (Particle)
Total Phosphorus_mixed forms,51,Dissolved
Total suspended solids,33,Non-Filterable (Particle)
Total suspended solids,33,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,40.1,Dissolved
Chloride,11.26,"Filtered, field"
Chlorophyll a,7.47,Total
Chlorophyll a,4.74,
Conductivity,392,Total
Inorganic carbon,2992,Dissolved
Iron,0,Dissolved
Magnesium,16.4,Dissolved
Manganese,0,Dissolved
Nitrate,490,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,888,Dissolved
pH,8.4,
Potassium,5,Dissolved
Silica_reactive,6.24,Total
Sodium,13.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),127,"Filtered, field"
Sulfate,45.21,Dissolved
Total Nitrogen_mixed forms,985,Dissolved
Total Particulate Carbon,2080,Suspended
Total Particulate Nitrogen,222,Non-Filterable (Particle)
Total Particulate Phosphorus,68,Non-Filterable (Particle)
Total Phosphorus_mixed forms,135,Dissolved
Total suspended solids,58,Non-Filterable (Particle)
Total suspended solids,58,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,28.2,Dissolved
Chloride,9.11,"Filtered, field"
Chlorophyll a,2.75,Total
Chlorophyll a,2.21,
Conductivity,294,Total
Inorganic carbon,2184,Dissolved
Iron,0,Dissolved
Magnesium,12.1,Dissolved
Manganese,0,Dissolved
Nitrate,220,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,832,Dissolved
pH,8.37,
Potassium,2.98,Dissolved
Silica_reactive,2.79,Total
Sodium,10.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),56,"Filtered, field"
Sulfate,31.15,Dissolved
Total Nitrogen_mixed forms,620,Dissolved
Total Particulate Carbon,780,Suspended
Total Particulate Nitrogen,89,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,63,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,21,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,41.5,Dissolved
Chloride,12.85,"Filtered, field"
Chlorophyll a,2.74,Total
Chlorophyll a,1.65,
Conductivity,419,Total
Inorganic carbon,3090,Dissolved
Iron,0,Dissolved
Magnesium,17.8,Dissolved
Manganese,0,Dissolved
Nitrate,570,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,946,Dissolved
pH,8.49,
Potassium,5.1,Dissolved
Silica_reactive,6.37,Total
Sodium,14.3,"Filtered, field"
Soluble Reactive Phosphorus (SRP),135,"Filtered, field"
Sulfate,47.29,Dissolved
Total Nitrogen_mixed forms,1320,Dissolved
Total Particulate Carbon,1460,Suspended
Total Particulate Nitrogen,137,Non-Filterable (Particle)
Total Particulate Phosphorus,44,Non-Filterable (Particle)
Total Phosphorus_mixed forms,142,Dissolved
Total suspended solids,40,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,40.5,Dissolved
Chloride,10.97,"Filtered, field"
Chlorophyll a,7.03,Total
Chlorophyll a,4.88,
Conductivity,404,Total
Inorganic carbon,2930,Dissolved
Iron,0,Dissolved
Magnesium,17,Dissolved
Manganese,0,Dissolved
Nitrate,530,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,923,Dissolved
pH,8.5,
Potassium,5.25,Dissolved
Silica_reactive,6.86,Total
Sodium,12.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),142,"Filtered, field"
Sulfate,47.45,Dissolved
Total Nitrogen_mixed forms,1250,Dissolved
Total Particulate Carbon,1890,Suspended
Total Particulate Nitrogen,202,Non-Filterable (Particle)
Total Particulate Phosphorus,63,Non-Filterable (Particle)
Total Phosphorus_mixed forms,149,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,54,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,47.6,Dissolved
Chloride,10.52,"Filtered, field"
Chlorophyll a,14.62,Total
Chlorophyll a,10.72,
Conductivity,452,Total
Inorganic carbon,3525,Dissolved
Iron,0,Dissolved
Magnesium,19.6,Dissolved
Manganese,0,Dissolved
Nitrate,400,"Filtered, field"
Nitrite,20,"Filtered, field"
Organic carbon,1109,Dissolved
pH,8.44,
Potassium,5.7,Dissolved
Silica_reactive,8.01,Total
Sodium,13.4,"Filtered, field"
Soluble Reactive Phosphorus (SRP),158,"Filtered, field"
Sulfate,52.03,Dissolved
Total Nitrogen_mixed forms,1205,Dissolved
Total Particulate Carbon,2850,Suspended
Total Particulate Nitrogen,298,Non-Filterable (Particle)
Total Particulate Phosphorus,87,Non-Filterable (Particle)
Total Phosphorus_mixed forms,168,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,74,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,24.7,Dissolved
Chloride,7.56,"Filtered, field"
Chlorophyll a,2.7,Total
Chlorophyll a,2.01,
Conductivity,259,Total
Inorganic carbon,1962,Dissolved
Iron,0,Dissolved
Magnesium,10.5,Dissolved
Manganese,0,Dissolved
Nitrate,163,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,804,Dissolved
pH,8.4,
Potassium,2.6,Dissolved
Silica_reactive,2.38,Total
Sodium,9.45,"Filtered, field"
Soluble Reactive Phosphorus (SRP),50,"Filtered, field"
Sulfate,25.5,Dissolved
Total Nitrogen_mixed forms,530,Dissolved
Total Particulate Carbon,660,Suspended
Total Particulate Nitrogen,83,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,51,Dissolved
Total suspended solids,16,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,23.2,Dissolved
Chloride,7.77,"Filtered, field"
Chlorophyll a,1.63,Total
Chlorophyll a,0.98,
Conductivity,244,Total
Inorganic carbon,1823,Dissolved
Iron,0,Dissolved
Magnesium,9.8,Dissolved
Manganese,0,Dissolved
Nitrate,108,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,775,Dissolved
pH,8.36,
Potassium,2.37,Dissolved
Silica_reactive,1.95,Total
Sodium,8.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),42,"Filtered, field"
Sulfate,22.84,Dissolved
Total Nitrogen_mixed forms,470,Dissolved
Total Particulate Carbon,640,Suspended
Total Particulate Nitrogen,71,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,46,Dissolved
Total suspended solids,20,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,11.7,Dissolved
Chloride,1.56,"Filtered, field"
Chlorophyll a,6.56,Total
Chlorophyll a,4.4,
Conductivity,102,Total
Inorganic carbon,904,Dissolved
Iron,0,Dissolved
Magnesium,3.6,Dissolved
Manganese,0,Dissolved
Nitrate,83,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,902,Dissolved
pH,8.16,
Potassium,0.96,Dissolved
Silica_reactive,1.62,Total
Sodium,2.46,"Filtered, field"
Soluble Reactive Phosphorus (SRP),5,"Filtered, field"
Sulfate,3.53,Dissolved
Total Nitrogen_mixed forms,460,Dissolved
Total Particulate Carbon,720,Suspended
Total Particulate Nitrogen,88,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,50,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,11,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,40,"Filtered, field"
Calcium,38.6,Dissolved
Chloride,12.08,"Filtered, field"
Chlorophyll a,2.37,Total
Chlorophyll a,1.25,
Conductivity,386,Total
Inorganic carbon,3006,Dissolved
Iron,0,Dissolved
Magnesium,16.1,Dissolved
Manganese,0,Dissolved
Nitrate,310,"Filtered, field"
Nitrite,40,"Filtered, field"
Organic carbon,919,Dissolved
pH,8.56,
Potassium,4.55,Dissolved
Silica_reactive,5.15,Total
Sodium,13.3,"Filtered, field"
Soluble Reactive Phosphorus (SRP),102,"Filtered, field"
Sulfate,41.5,Dissolved
Total Nitrogen_mixed forms,915,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,104,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,111,Dissolved
Total suspended solids,25,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,30,"Filtered, field"
Calcium,42.4,Dissolved
Chloride,13.41,"Filtered, field"
Chlorophyll a,2.83,Total
Chlorophyll a,1.75,
Conductivity,421,Total
Inorganic carbon,3205,Dissolved
Iron,0,Dissolved
Magnesium,17.8,Dissolved
Manganese,0,Dissolved
Nitrate,430,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,1000,Dissolved
pH,8.47,
Potassium,5,Dissolved
Silica_reactive,5.91,Total
Sodium,14.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),122,"Filtered, field"
Sulfate,46.21,Dissolved
Total Nitrogen_mixed forms,1030,Dissolved
Total Particulate Carbon,860,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,25,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,12.4,Dissolved
Chloride,1.75,"Filtered, field"
Chlorophyll a,11.92,Total
Chlorophyll a,7.97,
Conductivity,107,Total
Inorganic carbon,957,Dissolved
Iron,0,Dissolved
Magnesium,3.8,Dissolved
Manganese,0,Dissolved
Nitrate,43,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,923,Dissolved
pH,8.16,
Potassium,0.95,Dissolved
Silica_reactive,1.48,Total
Sodium,2.46,"Filtered, field"
Soluble Reactive Phosphorus (SRP),2,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,430,Dissolved
Total Particulate Carbon,1040,Suspended
Total Particulate Nitrogen,138,Non-Filterable (Particle)
Total Particulate Phosphorus,22,Non-Filterable (Particle)
Total Phosphorus_mixed forms,13,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,22.1,Dissolved
Chloride,5.98,"Filtered, field"
Chlorophyll a,1.97,Total
Chlorophyll a,1.13,
Conductivity,221,Total
Inorganic carbon,1715,Dissolved
Iron,0,Dissolved
Magnesium,8.7,Dissolved
Manganese,0,Dissolved
Nitrate,90,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,812,Dissolved
pH,8.37,
Potassium,2.18,Dissolved
Silica_reactive,1.93,Total
Sodium,7.65,"Filtered, field"
Soluble Reactive Phosphorus (SRP),36,"Filtered, field"
Sulfate,19.03,Dissolved
Total Nitrogen_mixed forms,490,Dissolved
Total Particulate Carbon,590,Suspended
Total Particulate Nitrogen,58,Non-Filterable (Particle)
Total Particulate Phosphorus,17,Non-Filterable (Particle)
Total Phosphorus_mixed forms,42,Dissolved
Total suspended solids,14,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,21.7,Dissolved
Chloride,5.35,"Filtered, field"
Chlorophyll a,1.51,Total
Chlorophyll a,0.86,
Conductivity,225,Total
Inorganic carbon,1721,Dissolved
Iron,0,Dissolved
Magnesium,8.9,Dissolved
Manganese,0,Dissolved
Nitrate,90,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,804,Dissolved
pH,8.38,
Potassium,2.21,Dissolved
Silica_reactive,1.89,Total
Sodium,7.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),32,"Filtered, field"
Sulfate,20.15,Dissolved
Total Nitrogen_mixed forms,495,Dissolved
Total Particulate Carbon,530,Suspended
Total Particulate Nitrogen,55,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,43,Dissolved
Total suspended solids,14,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,23.6,Dissolved
Chloride,6.5,"Filtered, field"
Chlorophyll a,3.5,Total
Chlorophyll a,2.64,
Conductivity,242,Total
Inorganic carbon,1848,Dissolved
Iron,0,Dissolved
Magnesium,9.7,Dissolved
Manganese,0,Dissolved
Nitrate,170,"Filtered, field"
Nitrite,10,"Filtered, field"
Organic carbon,858,Dissolved
pH,8.35,
Potassium,2.44,Dissolved
Silica_reactive,2.54,Total
Sodium,8.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),37,"Filtered, field"
Sulfate,21.95,Dissolved
Total Nitrogen_mixed forms,575,Dissolved
Total Particulate Carbon,770,Suspended
Total Particulate Nitrogen,101,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,48,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,13,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,22.1,Dissolved
Chloride,5.8,"Filtered, field"
Chlorophyll a,3.42,Total
Chlorophyll a,2.54,
Conductivity,223,Total
Inorganic carbon,1724,Dissolved
Iron,0,Dissolved
Magnesium,8.9,Dissolved
Manganese,0,Dissolved
Nitrate,210,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,833,Dissolved
pH,8.33,
Potassium,2.32,Dissolved
Silica_reactive,2.36,Total
Sodium,7.45,"Filtered, field"
Soluble Reactive Phosphorus (SRP),43,"Filtered, field"
Sulfate,19.47,Dissolved
Total Nitrogen_mixed forms,595,Dissolved
Total Particulate Carbon,730,Suspended
Total Particulate Nitrogen,93,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,48,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,15,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,5,"Filtered, field"
Calcium,20,Dissolved
Chloride,5.24,"Filtered, field"
Chlorophyll a,4.16,Total
Chlorophyll a,3.27,
Conductivity,205,Total
Inorganic carbon,1603,Dissolved
Iron,0,Dissolved
Magnesium,7.9,Dissolved
Manganese,0,Dissolved
Nitrate,175,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,866,Dissolved
pH,8.29,
Potassium,2.08,Dissolved
Silica_reactive,2.08,Total
Sodium,6.55,"Filtered, field"
Soluble Reactive Phosphorus (SRP),38,"Filtered, field"
Sulfate,16.46,Dissolved
Total Nitrogen_mixed forms,525,Dissolved
Total Particulate Carbon,690,Suspended
Total Particulate Nitrogen,100,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,39,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,21.2,Dissolved
Chloride,6.26,"Filtered, field"
Chlorophyll a,8.75,Total
Chlorophyll a,8.03,
Conductivity,213,Total
Inorganic carbon,1628,Dissolved
Iron,0,Dissolved
Magnesium,8.3,Dissolved
Manganese,0,Dissolved
Nitrate,204,"Filtered, field"
Nitrite,4,"Filtered, field"
Organic carbon,849,Dissolved
pH,8.36,
Potassium,2.25,Dissolved
Silica_reactive,2.24,Total
Sodium,6.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),42,"Filtered, field"
Sulfate,18.82,Dissolved
Total Nitrogen_mixed forms,600,Dissolved
Total Particulate Carbon,,Suspended
Total Particulate Nitrogen,,Non-Filterable (Particle)
Total Particulate Phosphorus,31,Non-Filterable (Particle)
Total Phosphorus_mixed forms,39,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,22,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,25,"Filtered, field"
Calcium,19.1,Dissolved
Chloride,4.74,"Filtered, field"
Chlorophyll a,4.15,Total
Chlorophyll a,3.2,
Conductivity,189,Total
Inorganic carbon,1485,Dissolved
Iron,0,Dissolved
Magnesium,7.3,Dissolved
Manganese,0,Dissolved
Nitrate,129,"Filtered, field"
Nitrite,4,"Filtered, field"
Organic carbon,862,Dissolved
pH,8.22,
Potassium,1.99,Dissolved
Silica_reactive,2.16,Total
Sodium,5.75,"Filtered, field"
Soluble Reactive Phosphorus (SRP),36,"Filtered, field"
Sulfate,14.57,Dissolved
Total Nitrogen_mixed forms,545,Dissolved
Total Particulate Carbon,700,Suspended
Total Particulate Nitrogen,83,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,37,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,15,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,23.1,Dissolved
Chloride,5.56,"Filtered, field"
Chlorophyll a,3.19,Total
Chlorophyll a,2.09,
Conductivity,237,Total
Inorganic carbon,1794,Dissolved
Iron,0,Dissolved
Magnesium,9.5,Dissolved
Manganese,0,Dissolved
Nitrate,212,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,818,Dissolved
pH,8.32,
Potassium,2.44,Dissolved
Silica_reactive,2.34,Total
Sodium,8.05,"Filtered, field"
Soluble Reactive Phosphorus (SRP),47,"Filtered, field"
Sulfate,21.73,Dissolved
Total Nitrogen_mixed forms,580,Dissolved
Total Particulate Carbon,640,Suspended
Total Particulate Nitrogen,73,Non-Filterable (Particle)
Total Particulate Phosphorus,15,Non-Filterable (Particle)
Total Phosphorus_mixed forms,45,Dissolved
Total suspended solids,11,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,5,"Filtered, field"
Calcium,12.2,Dissolved
Chloride,1.89,"Filtered, field"
Chlorophyll a,22.3,Total
Chlorophyll a,17.72,
Conductivity,107,Total
Inorganic carbon,974,Dissolved
Iron,0,Dissolved
Magnesium,3.8,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,904,Dissolved
pH,8.18,
Potassium,1,Dissolved
Silica_reactive,1.01,Total
Sodium,2.52,"Filtered, field"
Soluble Reactive Phosphorus (SRP),3,"Filtered, field"
Sulfate,4.69,Dissolved
Total Nitrogen_mixed forms,390,Dissolved
Total Particulate Carbon,1260,Suspended
Total Particulate Nitrogen,209,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,10,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,11,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,20.4,Dissolved
Chloride,5.81,"Filtered, field"
Chlorophyll a,4.16,Total
Chlorophyll a,3.04,
Conductivity,214,Total
Inorganic carbon,1695,Dissolved
Iron,0,Dissolved
Magnesium,8.5,Dissolved
