DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Nitrate,as NO3,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Nitrite,as NO2,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,0.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Organic carbon,,Dissolved,656,umol/L,,,13,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,pH,,,8.33,None,,,0.004,None,Method Detection Level,Final,,,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,"Silica, reactive",as SiO2,Total,0.219,ug/L,,,0.002,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO sulfate,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,"Total Nitrogen, mixed forms",,Dissolved,335,ug/L,,,5,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Nitrogen,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Total Particulate Carbon,,Suspended,550,ug/L,,,7,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Total Particulate Nitrogen,,Non-Filterable (Particle),36,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Total Particulate Phosphorus,,Non-Filterable (Particle),8,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Phosphorus,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,"Total Phosphorus, mixed forms",,Dissolved,7,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Phosphorus,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Total suspended solids,,Non-Filterable (Particle),,mg/L,,Below Detection/Quantification Limit,0.02,mg/L,Method Detection Level,Final,,,,FWI_CCGS_Namao-DFO Total Suspended Solids/Loss of Ignition/Trypton,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,34S,North Basin 34S,53.663,-98.48361111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/16/2002,17:33:00,,,,,,Total suspended solids,,Non-Filterable (Particle),2,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Particulate Solids,,,,FWI,W_322
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,"Alkalinity, total",,Dissolved,0,ueq/L,,,3.4,ueq/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Ammonia,as NH4,"Filtered, field",-5,ug/L,,,2.5,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Ammonia-Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Calcium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Calcium by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Chloride,as Cl,"Filtered, field",0,mg/L,,,0.01,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Chloride,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Chlorophyll a,,Total,1.85,ug/L,,,0.23,ng,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Chlorophyll a Gross Fluorescence,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Chlorophyll a,,,1.09,ug/L,,,0.23,ng,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Chlorophyll a Liquid Chromatography,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Conductivity,,Total,390,uS/cm,,,0.5,uS/cm,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Specific Contuctance,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Inorganic carbon,,Dissolved,2862,umol/L,,,10,umol/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Dissolved Inorganic Carbon,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Iron,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Iron by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Magnesium,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Magnesium by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Nitrate,as NO3,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Nitrite,as NO2,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,0.5,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Organic carbon,,Dissolved,549,umol/L,,,13,umol/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,pH,,,8.48,None,,,0.004,None,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,"Silica, reactive",as SiO2,Total,0.441,ug/L,,,0.002,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO sulfate,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,"Total Nitrogen, mixed forms",,Dissolved,305,ug/L,,,5,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Total Dissolved Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Total Particulate Carbon,,Suspended,610,ug/L,,,7,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Total Particulate Nitrogen,,Non-Filterable (Particle),34,ug/L,,,1,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Total Particulate Phosphorus,,Non-Filterable (Particle),10,ug/L,,,1,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Particulate Phosphorus,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,"Total Phosphorus, mixed forms",,Dissolved,7,ug/L,,,1,ug/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Total Dissolved Phosphorus,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Total suspended solids,,Non-Filterable (Particle),5,mg/L,,,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI-DFO Particulate Solids,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,28,North Basin 28,53.21194444,-99.23291667,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,9:13:00,,,,,,Total suspended solids,,Non-Filterable (Particle),,mg/L,,Below Detection/Quantification Limit,0.02,mg/L,Method Detection Level,Final,"W325-330 SPECIAL 1 = TRYPTON mg/l (TSS FILTER, 16 HOURS @ 500 C).",,,FWI_CCGS_Namao-DFO Total Suspended Solids/Loss of Ignition/Trypton,,,,FWI,W_325
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,"Alkalinity, total",,Dissolved,0,ueq/L,,,3.4,ueq/L,Method Detection Level,Final,,,,,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Ammonia,as NH4,"Filtered, field",5,ug/L,,,2.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Ammonia-Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Calcium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Calcium by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Chloride,as Cl,"Filtered, field",0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Chloride,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Chlorophyll a,,Total,3.3,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Gross Fluorescence,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Chlorophyll a,,,1.94,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Liquid Chromatography,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Conductivity,,Total,360,uS/cm,,,0.5,uS/cm,Method Detection Level,Final,,,,FWI-DFO Specific Contuctance,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Inorganic carbon,,Dissolved,2491,umol/L,,,10,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Inorganic Carbon,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Iron,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Iron by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Magnesium,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Magnesium by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Manganese,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Manganese by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Nitrate,as NO3,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Nitrite,as NO2,"Filtered, field",,ug/L,,Below Detection/Quantification Limit,0.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Nitrite and Nitrate Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Organic carbon,,Dissolved,592,umol/L,,,13,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Organic Carbon,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,pH,,,8.33,None,,,0.004,None,Method Detection Level,Final,,,,FWI-DFO Hydrogen Ion Concentration - pH,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Potassium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Potassium by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,"Silica, reactive",as SiO2,Total,0.411,ug/L,,,0.002,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Silicon,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Sodium,as Na,"Filtered, field",0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Sodium by Atomic Absorption,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Soluble Reactive Phosphorus (SRP),,"Filtered, field",2,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Soluble Reactive Phosphorous,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Sulfate,as SO4,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO sulfate,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,"Total Nitrogen, mixed forms",,Dissolved,345,ug/L,,,5,ug/L,Method Detection Level,Final,,,,FWI-DFO Total Dissolved Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Total Particulate Carbon,,Suspended,650,ug/L,,,7,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Total Particulate Nitrogen,,Non-Filterable (Particle),44,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Carbon and Nitrogen,,,,FWI,W_326
Lake Winnipeg Chemistry data from 2002 to 2004,26S,North Basin 26S,53.41288889,-98.76686111,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,6/17/2002,16:42:00,,,,,,Total Particulate Phosphorus,,Non-Filterable (Particle),14,ug/L,,,1,ug/L,Method Detection Level,Final,,,,FWI-DFO Particulate Phosphorus,,,,FWI,W_326
